ISO,Language ,Dialect,genetics,Speakers,method,quantity,vowel,F1,F2,F3, ,Source,miscellaneous ,
coo,Comox-Sliammon,,Salishan>Coast Salish>Central>Comox,1,wordlist/word elicitation ,uniform,ə,498,1234,, ,http://intro2psycholing.net/ICPhS/papers/ICPhS_1028.pdf,Australia,
coo,Comox-Sliammon,,Salishan>Coast Salish>Central>Comox,1,wordlist/word elicitation ,uniform,i,416.75,1875,, ,http://intro2psycholing.net/ICPhS/papers/ICPhS_1028.pdf,Australia,
coo,Comox-Sliammon,,Salishan>Coast Salish>Central>Comox,1,wordlist/word elicitation ,uniform,u,333.25,990,, ,http://intro2psycholing.net/ICPhS/papers/ICPhS_1028.pdf,Australia,
haw,Hawaiian,standard Hawaiian,Austronesian>Malayo-Polynesian>Oceanic>Polynesian>Eastern Polynesian>Marquesic,2,running speech,short,i,390,2250,, ,https://www-cambridge-org.ezproxy.library.ubc.ca/core/services/aop-cambridge-core/content/view/9F2B300BCF6EE97EA7E4437C5FCECB57/S0025100316000438a.pdf/hawaiian.pdf,Hawaii,
haw,Hawaiian,standard Hawaiian,Austronesian>Malayo-Polynesian>Oceanic>Polynesian>Eastern Polynesian>Marquesic,2,running speech,short,a,590,1110,, ,https://www-cambridge-org.ezproxy.library.ubc.ca/core/services/aop-cambridge-core/content/view/9F2B300BCF6EE97EA7E4437C5FCECB57/S0025100316000438a.pdf/hawaiian.pdf,Hawaii,
haw,Hawaiian,standard Hawaiian,Austronesian>Malayo-Polynesian>Oceanic>Polynesian>Eastern Polynesian>Marquesic,2,running speech,short,e,440,2000,, ,https://www-cambridge-org.ezproxy.library.ubc.ca/core/services/aop-cambridge-core/content/view/9F2B300BCF6EE97EA7E4437C5FCECB57/S0025100316000438a.pdf/hawaiian.pdf,Hawaii,
haw,Hawaiian,standard Hawaiian,Austronesian>Malayo-Polynesian>Oceanic>Polynesian>Eastern Polynesian>Marquesic,2,running speech,short,o,467,872,, ,https://www-cambridge-org.ezproxy.library.ubc.ca/core/services/aop-cambridge-core/content/view/9F2B300BCF6EE97EA7E4437C5FCECB57/S0025100316000438a.pdf/hawaiian.pdf,Hawaii,
haw,Hawaiian,standard Hawaiian,Austronesian>Malayo-Polynesian>Oceanic>Polynesian>Eastern Polynesian>Marquesic,2,running speech,short,u,375,808,, ,https://www-cambridge-org.ezproxy.library.ubc.ca/core/services/aop-cambridge-core/content/view/9F2B300BCF6EE97EA7E4437C5FCECB57/S0025100316000438a.pdf/hawaiian.pdf,Hawaii,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
gup,Bininj Gun-wok,Kundedjnenghmi,,1,running speech,uniform,i,457.1566,2312.494,2926.924,,https://www-cambridge-org.ezproxy.library.ubc.ca/core/services/aop-cambridge-core/content/view/CCF00B264F5125D8590F7BEE19A8DC3A/S0025100302001019a.pdf/an_acoustic_phonetic_analysis_of_intonational_prominence_in_two_australian_languages.pdf,Australia,
gup,Bininj Gun-wok,Kundedjnenghmi,,1,running speech,uniform,e,583.5768,2022.789,2762.9,,https://www-cambridge-org.ezproxy.library.ubc.ca/core/services/aop-cambridge-core/content/view/CCF00B264F5125D8590F7BEE19A8DC3A/S0025100302001019a.pdf/an_acoustic_phonetic_analysis_of_intonational_prominence_in_two_australian_languages.pdf,Australia,
gup,Bininj Gun-wok,Kundedjnenghmi,,1,running speech,uniform,a,731.7124,1707.448,2802.803,,https://www-cambridge-org.ezproxy.library.ubc.ca/core/services/aop-cambridge-core/content/view/CCF00B264F5125D8590F7BEE19A8DC3A/S0025100302001019a.pdf/an_acoustic_phonetic_analysis_of_intonational_prominence_in_two_australian_languages.pdf,Australia,
gup,Bininj Gun-wok,Kundedjnenghmi,,1,running speech,uniform,o,630.1115,1218.689,2781.851,,https://www-cambridge-org.ezproxy.library.ubc.ca/core/services/aop-cambridge-core/content/view/CCF00B264F5125D8590F7BEE19A8DC3A/S0025100302001019a.pdf/an_acoustic_phonetic_analysis_of_intonational_prominence_in_two_australian_languages.pdf,Australia,
gup,Bininj Gun-wok,Kundedjnenghmi,,1,running speech,uniform,u,470.4565,1158.937,2539.319,,https://www-cambridge-org.ezproxy.library.ubc.ca/core/services/aop-cambridge-core/content/view/CCF00B264F5125D8590F7BEE19A8DC3A/S0025100302001019a.pdf/an_acoustic_phonetic_analysis_of_intonational_prominence_in_two_australian_languages.pdf,Australia,
,,,,,,,,,,,,,,
gup,Bininj Gun-wok,Kunwinjku (?),,1,running speech,uniform,i,463.7823,2250.545,,,https://www-taylorfrancis-com.ezproxy.library.ubc.ca/books/e/9781410611888,Australia,
gup,Bininj Gun-wok,Kunwinjku (?),,1,running speech,uniform,e,568.7584,1967.324,,,https://www-taylorfrancis-com.ezproxy.library.ubc.ca/books/e/9781410611888,Australia,
gup,Bininj Gun-wok,Kunwinjku (?),,1,running speech,uniform,a,737.5154,1719.804,,,https://www-taylorfrancis-com.ezproxy.library.ubc.ca/books/e/9781410611888,Australia,
gup,Bininj Gun-wok,Kunwinjku (?),,1,running speech,uniform,o,605.801,1134.676,,,https://www-taylorfrancis-com.ezproxy.library.ubc.ca/books/e/9781410611888,Australia,
gup,Bininj Gun-wok,Kunwinjku (?),,1,running speech,uniform,u,486.35,1190.336,,,https://www-taylorfrancis-com.ezproxy.library.ubc.ca/books/e/9781410611888,Australia,
